year,co2conc,ch4conc,n2oconc,totforc
2338,1961.5774,3481.1807,526.59945,12.231577
2339,1961.5774,3481.1807,526.59945,12.231577
2340,1961.5774,3481.1807,526.59945,12.231577
2341,1961.5774,3481.1807,526.59945,12.231577
2342,1961.5774,3481.1807,526.59945,12.231577
2343,1961.5774,3481.1807,526.59945,12.231577
2344,1961.5774,3481.1807,526.59945,12.231577
2345,1961.5774,3481.1807,526.59945,12.231577
2346,1961.5774,3481.1807,526.59945,12.231577
2347,1961.5774,3481.1807,526.59945,12.231577
2348,1961.5774,3481.1807,526.59945,12.231577
2349,1961.5774,3481.1807,526.59945,12.231577
2350,1961.5774,3481.1807,526.59945,12.231577
2351,1961.5774,3481.1807,526.59945,12.231577
2352,1961.5774,3481.1807,526.59945,12.231577
2353,1961.5774,3481.1807,526.59945,12.231577
2354,1961.5774,3481.1807,526.59945,12.231577
2355,1961.5774,3481.1807,526.59945,12.231577
2356,1961.5774,3481.1807,526.59945,12.231577
2357,1961.5774,3481.1807,526.59945,12.231577
2358,1961.5774,3481.1807,526.59945,12.231577
2359,1961.5774,3481.1807,526.59945,12.231577
2360,1961.5774,3481.1807,526.59945,12.231577
2361,1961.5774,3481.1807,526.59945,12.231577
2362,1961.5774,3481.1807,526.59945,12.231577
2363,1961.5774,3481.1807,526.59945,12.231577
2364,1961.5774,3481.1807,526.59945,12.231577
2365,1961.5774,3481.1807,526.59945,12.231577
2366,1961.5774,3481.1807,526.59945,12.231577
2367,1961.5774,3481.1807,526.59945,12.231577
2368,1961.5774,3481.1807,526.59945,12.231577
2369,1961.5774,3481.1807,526.59945,12.231577
2370,1961.5774,3481.1807,526.59945,12.231577
2371,1961.5774,3481.1807,526.59945,12.231577
2372,1961.5774,3481.1807,526.59945,12.231577
2373,1961.5774,3481.1807,526.59945,12.231577
2374,1961.5774,3481.1807,526.59945,12.231577
2375,1961.5774,3481.1807,526.59945,12.231577
2376,1961.5774,3481.1807,526.59945,12.231577
2377,1961.5774,3481.1807,526.59945,12.231577
2378,1961.5774,3481.1807,526.59945,12.231577
2379,1961.5774,3481.1807,526.59945,12.231577
2380,1961.5774,3481.1807,526.59945,12.231577
2381,1961.5774,3481.1807,526.59945,12.231577
2382,1961.5774,3481.1807,526.59945,12.231577
2383,1961.5774,3481.1807,526.59945,12.231577
2384,1961.5774,3481.1807,526.59945,12.231577
2385,1961.5774,3481.1807,526.59945,12.231577
2386,1961.5774,3481.1807,526.59945,12.231577
2387,1961.5774,3481.1807,526.59945,12.231577
2388,1961.5774,3481.1807,526.59945,12.231577
2389,1961.5774,3481.1807,526.59945,12.231577
2390,1961.5774,3481.1807,526.59945,12.231577
2391,1961.5774,3481.1807,526.59945,12.231577
2392,1961.5774,3481.1807,526.59945,12.231577
2393,1961.5774,3481.1807,526.59945,12.231577
2394,1961.5774,3481.1807,526.59945,12.231577
2395,1961.5774,3481.1807,526.59945,12.231577
2396,1961.5774,3481.1807,526.59945,12.231577
2397,1961.5774,3481.1807,526.59945,12.231577
2398,1961.5774,3481.1807,526.59945,12.231577
2399,1961.5774,3481.1807,526.59945,12.231577
2400,1961.5774,3481.1807,526.59945,12.231577
2401,1961.5774,3481.1807,526.59945,12.231577
2402,1961.5774,3481.1807,526.59945,12.231577
2403,1961.5774,3481.1807,526.59945,12.231577
2404,1961.5774,3481.1807,526.59945,12.231577
2405,1961.5774,3481.1807,526.59945,12.231577
2406,1961.5774,3481.1807,526.59945,12.231577
2407,1961.5774,3481.1807,526.59945,12.231577
2408,1961.5774,3481.1807,526.59945,12.231577
2409,1961.5774,3481.1807,526.59945,12.231577
2410,1961.5774,3481.1807,526.59945,12.231577
2411,1961.5774,3481.1807,526.59945,12.231577
2412,1961.5774,3481.1807,526.59945,12.231577
2413,1961.5774,3481.1807,526.59945,12.231577
2414,1961.5774,3481.1807,526.59945,12.231577
2415,1961.5774,3481.1807,526.59945,12.231577
2416,1961.5774,3481.1807,526.59945,12.231577
2417,1961.5774,3481.1807,526.59945,12.231577
2418,1961.5774,3481.1807,526.59945,12.231577
2419,1961.5774,3481.1807,526.59945,12.231577
2420,1961.5774,3481.1807,526.59945,12.231577
2421,1961.5774,3481.1807,526.59945,12.231577
