year,co2conc,ch4conc,n2oconc,totforc
2252,370.96489,1252.7439,340.21142,1.6731338
2253,370.71059,1252.7625,340.19992,1.6692982
2254,370.46256,1252.7477,340.18853,1.6655291
2255,370.22872,1252.7282,340.17724,1.6619613
2256,370.00993,1252.7281,340.16605,1.6586245
2257,369.80422,1252.7729,340.15496,1.6555086
2258,369.60385,1252.8617,340.14398,1.652501
2259,369.39976,1252.9752,340.13309,1.6494574
2260,369.18806,1253.102,340.12231,1.646313
2261,368.96871,1253.237,340.11162,1.6430639
2262,368.74266,1253.3761,340.10103,1.6397203
2263,368.50442,1253.4679,340.09054,1.6361663
2264,368.25693,1253.4854,340.08014,1.632425
2265,368.0157,1253.4696,340.06983,1.6287508
2266,367.78857,1253.4492,340.05962,1.6252776
2267,367.57635,1253.4481,340.04951,1.6220347
2268,367.37703,1253.4919,340.03948,1.6190112
2269,367.1829,1253.5796,340.02955,1.6160943
2270,366.98498,1253.6922,340.0197,1.6131397
2271,366.77941,1253.818,340.00995,1.610083
2272,366.56619,1253.952,340.00028,1.6069204
2273,366.34625,1254.0902,339.99071,1.6036625
2274,366.11421,1254.181,339.98122,1.6001941
2275,365.873,1254.1977,339.97181,1.596539
2276,365.63806,1254.1809,339.96249,1.5929513
2277,365.41713,1254.1596,339.95326,1.5895647
2278,365.21098,1254.1576,339.94411,1.5864076
2279,365.01757,1254.2005,339.93504,1.5834687
2280,364.82921,1254.2874,339.92606,1.5806346
2281,364.63699,1254.3991,339.91716,1.5777615
2282,364.4371,1254.5239,339.90834,1.5747849
2283,364.22954,1254.6571,339.8996,1.5717015
2284,364.01526,1254.7944,339.89094,1.568522
2285,363.78896,1254.8844,339.88235,1.565132
2286,363.5536,1254.9002,339.87385,1.5615558
2287,363.32451,1254.8826,339.86542,1.5580476
2288,363.10935,1254.8605,339.85707,1.5547406
2289,362.90884,1254.8577,339.8488,1.5516625
2290,362.72091,1254.8998,339.8406,1.5488013
2291,362.53791,1254.9858,339.83247,1.5460435
2292,362.35099,1255.0966,339.82442,1.5432452
2293,362.15637,1255.2207,339.81645,1.5403422
2294,361.95408,1255.3531,339.80854,1.5373316
2295,361.74508,1255.4896,339.80071,1.5342242
2296,361.52413,1255.5788,339.79295,1.5309063
2297,361.29423,1255.5938,339.78526,1.5274029
2298,361.0706,1255.5755,339.77764,1.5239681
2299,360.86083,1255.5526,339.77008,1.5207346
2300,360.66558,1255.549,339.7626,1.5177296
2301,360.48278,1255.5903,339.75519,1.5149402
2302,360.30479,1255.6756,339.74784,1.5122528
2303,360.12281,1255.7857,339.74056,1.5095235
2304,359.93311,1255.909,339.73334,1.5066884
2305,359.73574,1256.0406,339.7262,1.503745
2306,359.53167,1256.1765,339.71911,1.5007042
2307,359.31573,1256.2649,339.71209,1.497453
2308,359.09095,1256.2792,339.70514,1.494017
2309,358.87244,1256.2602,339.69825,1.4906502
2310,358.66772,1256.2366,339.69142,1.4874849
2311,358.47742,1256.2323,339.68465,1.4845476
2312,358.29942,1256.2729,339.67794,1.4818249
2313,358.12611,1256.3575,339.6713,1.4792027
2314,357.94876,1256.4669,339.66472,1.4765374
2315,357.76367,1256.5895,339.65819,1.4737654
2316,357.57092,1256.7204,339.65173,1.4708842
2317,357.37148,1256.8556,339.64532,1.4679052
2318,357.16025,1256.9434,339.63897,1.4647157
2319,356.94027,1256.957,339.63268,1.4613423
2320,356.72659,1256.9373,339.62645,1.4580389
2321,356.52662,1256.9131,339.62028,1.454937
2322,356.34097,1256.9081,339.61416,1.4520628
2323,356.16748,1256.9481,339.60809,1.4494021
2324,355.99857,1257.032,339.60208,1.4468407
2325,355.82557,1257.1407,339.59613,1.4442349
