"","GWPmin","GWP10","GWP25","GWPmed","GWP75","GWP90","GWPmax"
"discount1.112",57.9752099522997,33.6031222329904,26.9304467619876,22.8750003220191,19.7059231027833,17.787171362496,15.5258323493705
"discount1.113",57.1765689308543,33.2918554415538,26.646841789819,22.6505342577444,19.5305592444453,17.6447341660842,15.4023981170463
"discount1.114",56.3985482561162,32.9798134901357,26.3637072081529,22.4516946666447,19.3588900249197,17.5044197837215,15.2810329938929
"discount1.115",55.6404171877671,32.6042430672418,26.0819047230611,22.2340890362275,19.1903606426951,17.3623627564694,15.161683572685
"discount1.116",54.9014755673231,32.2300950152648,25.8244296617643,22.0242568241856,19.0248831136702,17.2172515419457,15.0442983040991
"discount1.117",54.1810318570407,31.8642711373251,25.6305006041803,21.8404898392093,18.8623727536052,17.0823200208908,14.9288274161241
"discount1.118",53.4785054344976,31.5070450114865,25.4422645347238,21.6407090864427,18.7027480248439,16.9418944305758,14.8152228397252
"discount1.119",52.79322198866,31.1580601899649,25.1932340934738,21.4409048559426,18.5459303897773,16.8037924584705,14.7034381332026
"discount1.12",52.124616109197,30.8309398362082,24.9466393497601,21.244815882082,18.3918441729022,16.6754452676624,14.5934284137238
"discount1.121",51.4720643804584,30.5215204672356,24.7037585458627,21.0604583457528,18.2404164300669,16.5424277632426,14
"discount1.122",50.8351301458257,30.2183991848825,24.4639574678268,20.8835783765882,18.0917415972099,16.4171878113424,14
"discount1.123",50.2132192929388,29.9213876270314,24.2801578918143,20.7121318515582,17.9456137906585,16.2956928484771,14
"discount1.124",49.6058526096177,29.6303047767373,24.0895339074166,20.5415649471766,17.8019360304542,16.1760870133975,14
"discount1.125",49.0125523855093,29.3449766133715,23.8816818658675,20.3685330466389,17.6606452706429,16.058325742847,14
"discount1.126",48.4328603717251,29.0652357816065,23.6742785441636,20.1984594721987,17.5216806406798,15.942365861157,14
"discount1.127",47.8663368756227,28.7909212785413,23.4705117249882,20.029334311501,17.3849883125232,15.8281655310964,14
"discount1.128",47.3125599039521,28.5445567554591,23.2702849154949,19.8633762183482,17.2505145627696,15.7156842033006,14
"discount1.129",46.7711243460164,28.3182606921953,23.0735050527788,19.7003267658075,17.118193687218,15.6048825661305,14
"discount1.13",46.2416411957682,28.0956652456434,22.8800823516769,19.5327107337524,16.9879121320833,15.4955842169151,14
"discount1.131",45.7237368149961,27.8766800372978,22.6899301589285,19.3699249743093,16.8597411057167,15.3870502536506,14
"discount1.132",45.2170522288199,27.6612169199945,22.501496112538,19.2113037428326,16.7323904269755,15.2725774084977,14
"discount1.133",44.7212424585257,27.4491809923292,22.315166000407,19.0521349749381,16.6066816380474,15.170602506659,14
"discount1.134",44.2359758888743,27.2405034150056,22.1319203418671,18.8934704338566,16.4829036777563,15.0675842216179,14
"discount1.135",43.7609336584892,27.0351044040549,21.9516824746627,18.7374896322231,16.361011644471,14.9647997679821,14
"discount1.136",43.295809092247,26.8329677669854,21.7743782795307,18.5841240581606,16.2409620051651,14.866641826917,14
"discount1.137",42.8403071528676,26.6338966525063,21.5999360733058,18.4333075324091,16.1227125445081,14.7632931648586,14
"discount1.138",42.3941385816282,26.4378796571476,21.4282837935913,18.2849761088096,16.0062223215512,14.6680156417018,14
"discount1.139",41.9570418138257,26.2448465900103,21.2593481733179,18.1447218493895,15.8914516237902,14.5739649844952,14
"discount1.14",41.5287471431903,26.0262690300394,21.0930753475837,18.0056515450165,15.778361923249,14,14
"discount1.141",41.1090011715418,25.8094342901218,20.9294630548356,17.8705179127233,15.6669158350483,14,14
"discount1.142",40.6975597833447,25.5962934046012,20.7683279818937,17.7387967720116,15.5570770777027,14,14
"discount1.143",40.2941877419349,25.3867533077002,20.6112473265245,17.6068859554865,15.4488104339701,14,14
"discount1.144",39.8986583063139,25.1807240215441,20.4577843010566,17.4748014211032,15.3420817123003,14,14
"discount1.145",39.5107528681027,24.9781185272474,20.3101623407426,17.3430845595187,15.2368577113427,14,14
"discount1.146",39.1302605997002,24.7788526389983,20.167695416575,17.213110286503,15.1331061862519,14,14
