Region,Site,Patch_id,Species,Patch_coord_lat,Patch_coord_lon,iso_18O_all,iso_13C_all,prod,bowen_18O_annual,bowen_18O_AprSep,bowen_18O_JanApr,bowen_18O_annual.w,bowen_18O_AprSep.w,bowen_18O_JanApr.w,HWT_end_season,elevation,avt,evap,precip,samp_year
Poland (SE),Zakole bog,2,S.fuscum,49.21575,22.74122222,21.8361,-28.1345,105.7685774975,-10.39018496,-8.387062391,-12.27184939,-10.46009597,-8.483569808,-12.32769654,48,566,15.954125975,513.06099424,545.11085616,2014
Poland (SE),Zakole bog,4,S.fuscum,49.21519444,22.74166667,22.1909,-28.4598,138.1677282375,-10.39018496,-8.387062391,-12.27184939,-10.46009597,-8.483569808,-12.32769654,26,563,15.954125975,513.06099424,545.11085616,2014
Sweden (N),Abisko mire,1,S.fuscum,68.35916,18.81038,21.06653941,-27.71115192,43.87557712,-15.00302712,-12.55606254,-17.07350969,-14.966131,-12.22646214,-17.21161904,34,356,5.72699890133333,253.69744410683,782.13933193,2013
Sweden (N),Abisko mire,3,S.fuscum,68.35916,18.81038,21.26157056,-29.38802774,-33.73687479,-15.00302712,-12.55606254,-17.07350969,-14.966131,-12.22646214,-17.21161904,34,356,5.72699890133333,253.69744410683,782.13933193,2013
Sweden (N),Storflaket,1,S.fuscum,68.34711,18.97589,21.07381147,-28.73349658,-65.141278025,-15.14327041,-12.6688331,-17.24455261,-15.10510076,-12.33609113,-17.3825979,42,387,5.72699890133333,253.69744410683,782.13933193,2013
Sweden (N),Storflaket,3,S.fuscum,68.34711,18.97589,21.01403642,-28.66296145,-18.83617141,-15.14327041,-12.6688331,-17.24455261,-15.10510076,-12.33609113,-17.3825979,25,387,5.72699890133333,253.69744410683,782.13933193,2013
Sweden (N),Stordalen,1,S.fuscum,68.3528,19.03689,20.68657395,-29.77726763,63.6037571233333,-15.0508759,-12.59259892,-17.13080716,-15.01379208,-12.26233841,-17.26985436,38,378,5.72699890133333,253.69744410683,782.13933193,2013
Sweden (N),Stordalen,3,S.fuscum,68.3528,19.03689,20.70675266,-28.84346319,0,-15.0508759,-12.59259892,-17.13080716,-15.01379208,-12.26233841,-17.26985436,28,378,5.72699890133333,253.69744410683,782.13933193,2013
Estonia (SW),Tolkuse bog,1,S.magellanicum,58.13888889,24.51972222,21.49831833,-28.14784206,93.6305732333333,-11.26898527,-9.467522303,-12.76252937,-11.42150403,-9.453083915,-13.00258809,14,10,15.5547068278333,439.27736171,290.59385228,2013
Estonia (SW),Tolkuse bog,3,S.magellanicum,58.13888889,24.51972222,21.19897572,-29.04028146,73.74946922,-11.26898527,-9.467522303,-12.76252937,-11.42150403,-9.453083915,-13.00258809,19,10,15.5547068278333,439.27736171,290.59385228,2013
Estonia (SW),Tolkuse bog,1,S.fuscum,58.13888889,24.51972222,21.97282065,-28.76818692,208.649681533333,-11.26898527,-9.467522303,-12.76252937,-11.42150403,-9.453083915,-13.00258809,18,10,15.5547068278333,439.27736171,290.59385228,2013
Estonia (SW),Tolkuse bog,3,S.fuscum,58.13888889,24.51972222,21.11741275,-27.66255354,234.547770696667,-11.26898527,-9.467522303,-12.76252937,-11.42150403,-9.453083915,-13.00258809,41,10,15.5547068278333,439.27736171,290.59385228,2013
Estonia (central),Parika bog,2,S.magellanicum,58.475,25.77041667,20.95522388,-29.33921649,415.555555566667,-11.56064693,-9.68835036,-13.12065029,-11.53908994,-9.583318613,-13.24348953,31,52,15.389632161,438.07131975,302.82365536,2013
Estonia (central),Parika bog,3,S.magellanicum,58.475,25.77041667,21.83251138,-26.4938813,192.09908,-11.56064693,-9.68835036,-13.12065029,-11.53908994,-9.583318613,-13.24348953,12,52,15.389632161,438.07131975,302.82365536,2013
Estonia (central),Parika bog,1,S.fuscum,58.475,25.77041667,22.18208955,-28.70057131,88.4076432866667,-11.56064693,-9.68835036,-13.12065029,-11.53908994,-9.583318613,-13.24348953,41,52,15.389632161,438.07131975,302.82365536,2013
Estonia (central),Parika bog,3,S.fuscum,58.475,25.77041667,22.6301214,-29.83979196,282.1811748,-11.56064693,-9.68835036,-13.12065029,-11.53908994,-9.583318613,-13.24348953,42,52,15.389632161,438.07131975,302.82365536,2013
Estonia (central),Männikjärve bog,1,S.magellanicum,58.87583333,26.24722222,20.52935323,-27.43756376,91.9065817433333,-11.76919373,-9.856688023,-13.36753178,-11.62763305,-9.727582932,-13.46928416,21,81,15.0408620203333,477.27281921,353.01171037,2013
Estonia (central),Männikjärve bog,3,S.magellanicum,58.87583333,26.24722222,20.91540212,-25.97889048,311.691436666667,-11.76919373,-9.856688023,-13.36753178,-11.62763305,-9.727582932,-13.46928416,18,81,15.0408620203333,477.27281921,353.01171037,2013
Estonia (central),Männikjärve bog,1,S.fuscum,58.87583333,26.24722222,21.29154229,-27.86196695,274.976645433333,-11.76919373,-9.856688023,-13.36753178,-11.62763305,-9.727582932,-13.46928416,31,81,15.0408620203333,477.27281921,353.01171037,2013
